,Acc_ID,New_trsc_Amt,Contract_Date,Gender,Age,Job,Family,Cancellation,Deposit_Code
8334,391-487327-21794,10000,2023-07-10,여성,59,회사원,결혼,no,081-0001410
9826,969-279350-33018,10000,2023-08-02,남성,33,기술자,결혼,no,081-0001410
2767,448-966082-67796,10000,2023-04-13,여성,29,산업노동자,미혼,no,A23-000059
15218,330-403944-14960,10000,2023-11-06,남성,54,산업노동자,결혼,no,A23-000061
20759,701-471292-82475,110000,2024-02-05,여성,40,산업노동자,결혼,no,081-000081
24768,250-438842-38865,350000,2024-04-11,여성,40,서비스종사자,결혼,no,081-000353
20299,492-534849-28727,20000,2024-01-26,남성,50,산업노동자,결혼,no,081-000049
11642,378-503036-57343,20000,2023-09-01,여성,25,서비스종사자,미혼,no,A23-0000512
21042,412-078659-83275,30000,2024-02-08,남성,31,기술자,이혼,no,081-000076
19328,318-472539-48750,20000,2024-01-12,남성,27,산업노동자,결혼,no,A23-000053
20628,313-512915-18188,60000,2024-02-01,여성,29,기술자,결혼,no,A23-000054
24476,591-537270-48472,10000,2024-04-05,여성,58,은퇴,결혼,no,081-000301
11427,428-334096-10467,30000,2023-08-29,남성,30,회사원,미혼,no,081-000611
8845,266-951701-09697,10000,2023-07-17,남성,55,산업노동자,결혼,no,A23-000057
12752,553-998467-10430,10000,2023-09-19,남성,33,산업노동자,결혼,no,081-000101
23292,959-643720-82843,10000,2024-03-19,남성,33,서비스종사자,미혼,no,A23-000045
8954,116-530290-75275,10000,2023-07-19,여성,31,회사원,미혼,no,081-000046
14585,041-193724-00063,30000,2023-10-25,남성,85,은퇴,미혼,no,081-000671
16779,607-190245-40503,170000,2023-12-01,여성,32,산업노동자,미혼,no,081-000153
8597,218-355411-60219,10000,2023-07-13,남성,79,은퇴,이혼,no,081-000511
23886,575-417417-06258,20000,2024-03-28,남성,28,서비스종사자,결혼,no,081-000065
15201,699-870539-46270,40000,2023-11-06,남성,36,기술자,결혼,no,081-000083
24861,934-190472-77819,10000,2024-04-12,여성,37,기술자,이혼,no,081-000501
2992,834-064014-09150,20000,2023-04-18,여성,35,자영업자,결혼,no,081-000371
1137,269-296995-39773,20000,2023-03-22,남성,26,산업노동자,결혼,no,081-000291
17406,013-431577-31457,20000,2023-12-12,남성,41,기술자,미혼,no,081-000305
16440,043-587818-57099,10000,2023-11-27,남성,30,산업노동자,이혼,no,081-000331
10037,889-225639-40320,20000,2023-08-04,여성,39,주부,결혼,no,081-000067
15341,322-549758-47329,10000,2023-11-08,남성,36,산업노동자,결혼,no,081-000342
11101,892-175653-75259,10000,2023-08-23,여성,66,은퇴,결혼,no,081-000511
13607,427-245569-26691,20000,2023-10-10,남성,53,기술자,결혼,yes,081-000581
17347,118-822765-20354,80000,2023-12-11,여성,29,산업노동자,이혼,no,081-000421
316,818-879469-70877,10000,2023-03-10,여성,25,서비스종사자,결혼,no,081-000201
14575,488-102601-88635,10000,2023-10-25,남성,21,군인,미혼,no,081-000322
5052,186-267246-97004,20000,2023-05-19,여성,40,회사원,결혼,no,081-000045
19885,876-087146-58312,10000,2024-01-22,여성,53,산업노동자,결혼,no,081-000204
1446,692-901053-81399,10000,2023-03-27,여성,66,은퇴,결혼,no,081-000531
13743,853-609582-98249,10000,2023-10-11,여성,33,기업가,결혼,no,081-000461
10434,694-840021-57466,10000,2023-08-11,여성,40,기술자,이혼,no,A23-000031
25365,073-399374-86236,110000,2024-04-22,남성,65,은퇴,결혼,no,081-000441
13671,194-849003-52896,10000,2023-10-10,여성,36,회사원,결혼,no,A23-000032
1977,602-572526-80344,10000,2023-04-03,여성,44,회사원,결혼,yes,081-000611
17119,686-294301-04090,20000,2023-12-07,남성,26,기술자,결혼,no,081-000352
19893,509-579740-38648,30000,2024-01-22,여성,32,회사원,미혼,yes,A23-000045
10573,195-667383-23372,10000,2023-08-14,남성,40,산업노동자,결혼,no,081-000101
11278,628-720589-85432,50000,2023-08-25,여성,30,자영업자,미혼,no,081-000332
24965,941-623353-58432,20000,2024-04-16,남성,31,기술자,결혼,no,081-000146
9131,148-146967-46682,10000,2023-07-21,여성,26,자영업자,결혼,no,081-0001410
18791,143-915828-89968,30000,2024-01-04,여성,39,기업가,결혼,no,081-000491
108,151-882393-86856,10000,2023-03-07,남성,37,기술자,미확인,yes,081-000066
14391,276-883739-65595,10000,2023-10-20,남성,38,산업노동자,결혼,no,081-000152
3557,491-950173-71255,40000,2023-04-26,여성,40,산업노동자,미확인,no,081-000331
2063,776-389330-10492,10000,2023-04-04,여성,27,회사원,미혼,no,A23-000011
23316,817-999538-52933,20000,2024-03-20,여성,28,기업가,미혼,no,081-000491
24735,216-626961-77748,40000,2024-04-11,여성,45,주부,미혼,no,081-000301
5464,985-985137-56656,30000,2023-05-25,남성,31,기술자,결혼,no,081-000144
5312,835-020676-85975,30000,2023-05-23,남성,5,학생,미혼,yes,081-000171
14623,837-989426-30755,20000,2023-10-26,여성,54,은퇴,이혼,no,081-000281
15996,297-542450-27520,20000,2023-11-20,여성,51,회사원,미혼,no,081-000353
11579,741-742441-75237,20000,2023-08-31,여성,28,산업노동자,이혼,no,A23-000021
19283,216-598729-83090,10000,2024-01-11,여성,49,산업노동자,미혼,no,081-000091
6592,778-555316-00378,30000,2023-06-14,여성,44,기술자,미혼,no,081-000091
11996,889-755798-53355,10000,2023-09-07,여성,56,회사원,미혼,no,081-000203
12893,424-236371-10047,20000,2023-09-21,남성,56,은퇴,결혼,no,081-000621
5932,374-573438-48682,10000,2023-06-02,남성,41,회사원,미혼,no,081-000411
23645,083-308280-81417,20000,2024-03-25,남성,32,산업노동자,결혼,no,081-000068
15208,426-106110-09952,10000,2023-11-06,남성,49,산업노동자,결혼,no,081-000231
2533,121-167898-07936,10000,2023-04-11,남성,29,산업노동자,결혼,no,081-000331
10090,849-168422-57978,10000,2023-08-07,여성,38,회사원,미확인,no,081-000061
3961,512-449219-92514,10000,2023-05-01,남성,41,기업가,결혼,yes,A23-000042
917,963-179716-84956,20000,2023-03-17,여성,32,회사원,결혼,yes,081-000081
7668,761-126656-26598,10000,2023-06-29,여성,42,회사원,미혼,no,081-000304
17883,223-904017-91265,60000,2023-12-19,남성,44,자영업자,미혼,no,081-000651
26197,021-154080-95471,30000,2024-05-03,여성,47,회사원,미혼,no,A23-000046
12263,051-619604-55917,30000,2023-09-11,남성,32,기술자,결혼,no,081-000304
19616,471-711130-37429,10000,2024-01-17,여성,30,기술자,이혼,no,081-000281
14794,205-835570-40386,20000,2023-10-30,여성,33,산업노동자,미확인,no,081-000611
3237,337-360851-43988,40000,2023-04-20,여성,25,회사원,미혼,no,081-000231
8931,519-551950-81284,20000,2023-07-18,여성,34,회사원,결혼,no,A23-000081
6076,922-952578-59811,40000,2023-06-05,남성,39,회사원,미혼,yes,A23-000091
18114,179-891729-08518,10000,2023-12-22,남성,52,산업노동자,이혼,no,081-000561
23032,791-517927-70486,10000,2024-03-14,여성,40,회사원,미혼,yes,081-000201
22830,707-649089-11638,40000,2024-03-12,남성,57,은퇴,미혼,no,081-000045
25583,654-834178-61976,10000,2024-04-25,남성,31,회사원,이혼,no,A23-000045
5245,483-381835-46573,10000,2023-05-23,여성,31,자영업자,미확인,no,081-000049
13765,234-590101-76344,20000,2023-10-11,남성,36,회사원,미혼,no,A23-000061
15754,169-684892-07815,20000,2023-11-15,남성,5,학생,미혼,no,081-000171
12447,587-328656-82797,40000,2023-09-14,여성,31,회사원,결혼,no,081-000162
17960,277-238427-22568,20000,2023-12-20,여성,38,회사원,미혼,no,081-000013
20557,006-115640-60174,50000,2024-01-31,여성,36,회사원,결혼,no,081-000049
4478,502-693222-92844,50000,2023-05-11,여성,45,회사원,결혼,no,A23-000059
6319,683-026696-99216,20000,2023-06-09,여성,28,회사원,결혼,no,081-000043
12389,207-700384-18521,20000,2023-09-13,남성,40,산업노동자,미확인,no,A23-000057
576,547-221064-75038,70000,2023-03-14,남성,42,기술자,결혼,no,081-000611
694,261-778496-10999,30000,2023-03-15,남성,40,산업노동자,미혼,no,081-000061
7620,162-500379-23432,10000,2023-06-28,여성,29,회사원,결혼,yes,081-000071
11695,946-300313-46500,10000,2023-09-01,여성,55,은퇴,미혼,no,081-000161
5514,960-392348-09889,30000,2023-05-26,남성,37,회사원,이혼,no,081-000067
16230,706-725838-16690,40000,2023-11-22,남성,24,주부,결혼,no,A23-000058
10289,854-431979-74638,20000,2023-08-09,여성,46,산업노동자,미혼,no,081-000068
8272,314-885355-26482,20000,2023-07-07,남성,58,은퇴,이혼,no,081-000163
9756,711-009534-17892,10000,2023-08-01,여성,39,서비스종사자,결혼,no,A23-000058
