,클래스ID,강의시작일,강의종료일,강사명,담당 매니저,강사 구분,언어(수업),총지급 강사료,클래스 수업료,class 종류,장소
0,FMHKxxoo,2023-04-08,2023-06-21,서현채,김민준,Korean,영어,"140,000","340,000",Group,"서울 마포구 월드컵북로56길 19 (상암동, 드림타워)"
1,31Efbkjr,2023-01-07,2024-03-19,서현채,이서윤,Korean,영어,"210,000","510,000",1:1 (임원),17층
2,b8c41CuC,2022-12-25,2023-12-20,서현채,이서윤,Korean,영어,"315,000","765,000",1:1 (임원),"서울 마포구 상암산로 66 (상암동, CJ E&M CENTER)"
3,GJvUTlX3,2023-03-22,2023-06-29,서현채,이서윤,Korean,영어,"210,000","600,000",Group,"서울 종로구 종로 26 (서린동, SK서린동빌딩)"
4,XN4s9bBb,2023-02-21,2023-05-16,서현채,박지후,Korean,영어,"245,000","560,000",Group,"서울 용산구 원효로 74 (원효로4가, 현대자동차원효로사옥)"
5,tl3kFscJ,2022-09-21,2024-01-21,장후수,최도현,,영어,"362,500",0,기타,
6,TrvaU4Mw,2023-02-13,2023-04-29,박민준,정하윤,Korean,영어,"272,000","616,000",Co-Active Learning,"경기 화성시 삼성전자로 1 (반월동, 삼성전자(주))"
7,F8F7MT0c,2023-03-18,2023-06-21,오민예,장은우,Korean,영어,"225,000","450,000",Language lab,"충북 청주시 흥덕구 풍산로 15 (가경동, 대우 메가폴리스)"
8,edUrTp5c,2023-04-08,2023-06-27,오민예,한채원,Korean,영어,"524,400","720,000",Group,충북 청주시 청원구 오창읍 과학산업4로 146 (구룡리) / 제조기술 회의실 (2동 3층)
9,KDcZlfHs,2023-04-15,2023-06-25,오민예,윤지민,Korean,영어,"105,000","376,628",Group,"세종특별자치시 다솜2로 94 (어진동, 정부세종청사)"
10,4VwSto04,2023-03-12,2023-04-10,오민예,장은우,Korean,영어,"240,000","480,000",Group,대전 유성구 죽동 55-5
11,fMyJf1tC,2023-01-14,2023-04-03,윤현호,송예은,F2/F5/F6,일본어,"240,000","474,000",Group,부산 기장군 정관읍 정관중앙로 100 (방곡리)
12,Kjca9ZWy,2023-04-17,2023-04-26,윤현호,송예은,F2/F5/F6,일본어,"120,000","237,000",Group,부산 기장군 정관읍 정관중앙로 100 (방곡리)
13,dGu4Hneb,2022-08-25,2023-07-23,유윤수,오현서,F2/F5/F6,영어,"50,000","100,000",1:1 (임원),"서울 강남구 테헤란로 202 (역삼동, 한국은행 강남본부, 금융결제원)"
